M_BH,M_sph,R_e,sSFR
8.373608,10.952058,0.29086214,-9.969813
8.366652,10.94012,0.66912043,-9.873545
8.224577,10.766965,0.35524574,-10.018908
9.001665,11.207765,0.27324063,-9.895928
8.721834,11.148303,0.13454391,-9.928015
8.734927,11.16034,0.8041027,-9.96016
8.603457,10.659863,0.97461075,-9.584221
8.676083,11.178869,0.33327252,-9.918226
8.189531,10.743341,0.23448823,-9.816992
8.141231,10.848786,0.009040459,-9.875889
8.466171,10.841589,0.88264334,-9.598929
8.504922,10.847952,0.43677676,-9.719896
8.160875,10.998169,0.3369972,-9.928172
9.058167,11.09677,0.6403509,-9.920426
8.191859,11.193631,0.2925168,-9.897425
9.788576,11.917477,1.1398028,-9.890651
8.249411,10.898664,0.22738121,-9.682186
7.985336,10.819681,0.39061052,-9.784403
8.635781,10.839158,0.5074362,-9.965153
8.2977915,10.672082,0.3073057,-9.903848
9.220848,11.398775,0.8502403,-10.175947
8.0536375,10.812769,0.51836115,-9.89855
8.38719,10.732322,0.6110315,-10.137078
8.618885,10.908258,0.97117287,-9.766455
8.022003,10.539506,0.35669777,-9.853599
8.154826,10.583033,0.4096294,-9.967908
8.623305,10.826199,0.4092836,-9.879004
8.488758,10.849905,0.4091668,-10.023872
8.758623,11.0930805,0.11904789,-9.898035
8.241008,10.745604,0.08693684,-9.812439
8.73386,11.101386,0.5815152,-9.797234
7.979227,10.849738,0.36884832,-9.813115
8.445416,10.85936,0.83330303,-9.963081
7.915544,10.54789,0.2663641,-9.851202
8.776616,11.035277,0.20512964,-9.983196
8.923658,11.46927,0.42485258,-10.009266
8.70165,10.899185,0.5683239,-9.861453
8.547222,10.762964,0.6710832,-9.806531
9.704755,11.563202,0.79814404,-9.934502
8.97441,11.184073,0.6962459,-10.149521
8.623593,11.072487,0.46901292,-9.782896
8.84406,11.112506,0.5429192,-10.028189
7.954355,10.224817,0.36059582,-9.698114
8.300844,11.113947,0.3112673,-9.91498
7.9888225,10.594188,0.22361887,-9.96127
