M_BH,M_sph,R_e,sSFR
8.562673,11.090756,0.861349,-14.595632
8.386817,10.946773,0.8789905,-12.032159
8.533725,11.006081,0.69458884,-11.761249
8.555587,11.103597,0.72849363,-13.774586
8.436361,10.901417,0.7593601,-12.902143
8.662149,11.060744,0.83738583,-12.689409
8.799008,11.011742,1.0315686,-13.026051
8.119612,10.786469,0.69323814,-12.508306
8.499975,11.021778,0.77679175,-12.191131
8.641758,11.290043,0.71527684,-14.2021475
8.408555,10.938797,0.8319729,-15.792782
8.77574,11.048655,0.9916196,-11.724765
8.2023735,10.350906,0.8347456,-11.642552
8.655139,11.025949,0.6975301,-14.629281
8.438398,11.221141,0.70899856,-15.244011
9.331109,11.629405,1.0598656,-12.986944
7.015292,10.39955,-0.9893382,-15.221348
8.312741,10.920616,0.8354572,-16.361408
8.447522,11.057146,0.82777315,-14.190304
8.670303,11.23838,0.63889986,-13.491668
8.626687,11.265238,0.64257556,-12.148534
8.461031,11.186726,0.46463862,-14.783328
8.468371,11.068335,0.6212519,-13.065139
8.190719,10.4094095,0.8869312,-11.845917
8.27647,10.840509,0.6762756,-13.815691
9.362514,11.516064,1.1097572,-14.903713
9.533132,11.636947,1.086282,-13.256542
8.396577,10.596629,0.8468248,-11.987869
8.477733,11.014218,0.8875312,-13.239921
8.541624,10.9872675,0.93050295,-12.619946
8.64168,10.518105,0.8918665,-14.648375
8.23987,10.822072,0.6501532,-13.143092
6.6382346,10.1258,-0.005701474,-14.471376
8.641692,11.02255,0.9995463,-12.008148
8.372726,11.127552,0.77024984,-12.46162
8.675025,11.068983,0.5834454,-13.145486
8.82484,11.291674,0.7703981,-13.862106
9.110819,11.331047,0.88632584,-12.749625
8.547485,10.773815,0.6249314,-13.008825
8.534468,11.037248,0.82622874,-12.308663
8.4427595,10.6893835,0.70386267,-12.74607
8.508519,10.903384,0.96104586,-13.11731
8.651705,11.218765,0.76641405,-16.050804
8.548586,10.902984,0.71221226,-13.056872
8.1882925,10.826507,0.78946114,-13.009759
8.573617,11.178078,0.8447634,-13.116251
8.18468,10.71371,0.497964,-12.767638
7.747826,10.206087,0.5791669,-11.380264
9.042463,11.361213,0.9113982,-12.808669
8.033059,10.1165695,0.8953547,-15.029496
8.619883,11.082279,0.5965427,-12.334177
8.470796,10.623521,0.72018087,-12.6702
8.54885,10.939657,0.9419939,-12.682328
8.577711,10.856141,0.6819669,-12.845785
8.410982,10.860387,0.81816417,-13.185406
9.218063,11.4618,1.1388965,-13.562745
8.206023,10.322806,0.71964717,-12.370933
8.953867,11.065392,0.9382014,-12.707146
8.340774,10.792385,0.68997025,-12.055734
8.717726,11.050392,0.79439706,-13.252784
8.490065,10.927281,0.8745701,-12.320782
8.132312,10.7153015,0.5712719,-16.015215
8.89956,10.944687,0.7860749,-12.782673
8.434903,11.015906,0.77186596,-14.682236
8.424891,11.180087,0.6376051,-15.720444
8.729619,11.027432,1.0196314,-11.708418
8.217725,10.767662,0.73535204,-15.217181
8.640603,11.132091,0.58150053,-11.84997
8.754885,11.355597,0.8856772,-15.837302
8.547127,11.05657,0.7994503,-12.941622
